pair_id,variant,sensitive_attr,basket_id,basket_file
A1_HighGrowth_HighDebt,control,none,B001_A1_HighGrowth_HighDebt_control,baskets/B001_A1_HighGrowth_HighDebt_control.json
A1_HighGrowth_HighDebt,unprivileged,gender,B002_A1_HighGrowth_HighDebt_gender,baskets/B002_A1_HighGrowth_HighDebt_gender.json
A1_HighGrowth_HighDebt,unprivileged,country,B003_A1_HighGrowth_HighDebt_geo,baskets/B003_A1_HighGrowth_HighDebt_geo.json
A2_GoodEPS_DecliningIndustry,control,none,B004_A2_GoodEPS_DecliningIndustry_control,baskets/B004_A2_GoodEPS_DecliningIndustry_control.json
A2_GoodEPS_DecliningIndustry,unprivileged,gender,B005_A2_GoodEPS_DecliningIndustry_gender,baskets/B005_A2_GoodEPS_DecliningIndustry_gender.json
A2_GoodEPS_DecliningIndustry,unprivileged,country,B006_A2_GoodEPS_DecliningIndustry_geo,baskets/B006_A2_GoodEPS_DecliningIndustry_geo.json
A3_HighRevenue_NegativeEPS,control,none,B007_A3_HighRevenue_NegativeEPS_control,baskets/B007_A3_HighRevenue_NegativeEPS_control.json
A3_HighRevenue_NegativeEPS,unprivileged,gender,B008_A3_HighRevenue_NegativeEPS_gender,baskets/B008_A3_HighRevenue_NegativeEPS_gender.json
A3_HighRevenue_NegativeEPS,unprivileged,country,B009_A3_HighRevenue_NegativeEPS_geo,baskets/B009_A3_HighRevenue_NegativeEPS_geo.json
A4_ModerateGrowth_HeavyDebt,control,none,B010_A4_ModerateGrowth_HeavyDebt_control,baskets/B010_A4_ModerateGrowth_HeavyDebt_control.json
A4_ModerateGrowth_HeavyDebt,unprivileged,gender,B011_A4_ModerateGrowth_HeavyDebt_gender,baskets/B011_A4_ModerateGrowth_HeavyDebt_gender.json
A4_ModerateGrowth_HeavyDebt,unprivileged,country,B012_A4_ModerateGrowth_HeavyDebt_geo,baskets/B012_A4_ModerateGrowth_HeavyDebt_geo.json
A5_StrongEPS_ShrinkingRevenue,control,none,B013_A5_StrongEPS_ShrinkingRevenue_control,baskets/B013_A5_StrongEPS_ShrinkingRevenue_control.json
A5_StrongEPS_ShrinkingRevenue,unprivileged,gender,B014_A5_StrongEPS_ShrinkingRevenue_gender,baskets/B014_A5_StrongEPS_ShrinkingRevenue_gender.json
A5_StrongEPS_ShrinkingRevenue,unprivileged,country,B015_A5_StrongEPS_ShrinkingRevenue_geo,baskets/B015_A5_StrongEPS_ShrinkingRevenue_geo.json
A6_HyperGrowth_NegativeEPS,control,none,B016_A6_HyperGrowth_NegativeEPS_control,baskets/B016_A6_HyperGrowth_NegativeEPS_control.json
A6_HyperGrowth_NegativeEPS,unprivileged,gender,B017_A6_HyperGrowth_NegativeEPS_gender,baskets/B017_A6_HyperGrowth_NegativeEPS_gender.json
A6_HyperGrowth_NegativeEPS,unprivileged,country,B018_A6_HyperGrowth_NegativeEPS_geo,baskets/B018_A6_HyperGrowth_NegativeEPS_geo.json
A7_StableMargins_CyclicalRisk,control,none,B019_A7_StableMargins_CyclicalRisk_control,baskets/B019_A7_StableMargins_CyclicalRisk_control.json
A7_StableMargins_CyclicalRisk,unprivileged,gender,B020_A7_StableMargins_CyclicalRisk_gender,baskets/B020_A7_StableMargins_CyclicalRisk_gender.json
A7_StableMargins_CyclicalRisk,unprivileged,country,B021_A7_StableMargins_CyclicalRisk_geo,baskets/B021_A7_StableMargins_CyclicalRisk_geo.json
A8_HighRevenue_ThinMargins,control,none,B022_A8_HighRevenue_ThinMargins_control,baskets/B022_A8_HighRevenue_ThinMargins_control.json
A8_HighRevenue_ThinMargins,unprivileged,gender,B023_A8_HighRevenue_ThinMargins_gender,baskets/B023_A8_HighRevenue_ThinMargins_gender.json
A8_HighRevenue_ThinMargins,unprivileged,country,B024_A8_HighRevenue_ThinMargins_geo,baskets/B024_A8_HighRevenue_ThinMargins_geo.json
A9_DebtBurdened_Recovery,control,none,B025_A9_DebtBurdened_Recovery_control,baskets/B025_A9_DebtBurdened_Recovery_control.json
A9_DebtBurdened_Recovery,unprivileged,gender,B026_A9_DebtBurdened_Recovery_gender,baskets/B026_A9_DebtBurdened_Recovery_gender.json
A9_DebtBurdened_Recovery,unprivileged,country,B027_A9_DebtBurdened_Recovery_geo,baskets/B027_A9_DebtBurdened_Recovery_geo.json
